Level,Date and Time,Source,Event ID,lof_score,is_anomaly
Information,12/19/2016 4:24:44 AM,Service Control Manager,7036.0,113154822.86366859,True
Information,12/19/2016 4:07:45 AM,Service Control Manager,7036.0,75111391.15371911,True
Information,12/19/2016 3:57:44 AM,Service Control Manager,7036.0,367509303.52962106,True
Information,12/19/2016 3:57:44 AM,Service Control Manager,7036.0,99498206.13534622,True
Information,12/19/2016 3:34:27 AM,Service Control Manager,7036.0,122909548.66131,True
Information,12/19/2016 3:24:27 AM,Service Control Manager,7036.0,122909548.66131,True
Information,12/19/2016 3:14:18 AM,Service Control Manager,7036.0,367509303.52962106,True
Information,12/19/2016 3:02:25 AM,Service Control Manager,7036.0,99498206.13534622,True
Information,12/19/2016 1:59:27 AM,Service Control Manager,7036.0,78037809.0522323,True
Information,12/19/2016 1:35:52 AM,Service Control Manager,7036.0,443840034.09394634,True
Information,12/19/2016 1:18:54 AM,Service Control Manager,7036.0,68283082.95195328,True
Information,12/19/2016 1:08:52 AM,Service Control Manager,7036.0,443840034.09394634,True
Information,12/19/2016 1:08:52 AM,Service Control Manager,7036.0,68283082.95195328,True
Information,12/19/2016 1:04:27 AM,Service Control Manager,7036.0,78037809.0522323,True
Information,12/19/2016 12:59:27 AM,Service Control Manager,7036.0,55927096.752671264,True
Information,12/19/2016 12:34:27 AM,Service Control Manager,7036.0,55927096.752671264,True
Information,12/19/2016 12:34:27 AM,Service Control Manager,7036.0,55927096.752671264,True
Information,12/19/2016 12:14:27 AM,Service Control Manager,7036.0,55927096.752671264,True
Information,12/19/2016 12:04:27 AM,Service Control Manager,7036.0,55927096.752671264,True
Information,12/18/2016 11:54:51 PM,Service Control Manager,7036.0,196069993.65410662,True
Information,12/18/2016 11:37:53 PM,Service Control Manager,7036.0,90718952.75766377,True
Information,12/18/2016 11:27:51 PM,Service Control Manager,7036.0,196069993.65410662,True
Information,12/18/2016 11:27:51 PM,Service Control Manager,7036.0,90718952.75766377,True
Information,12/18/2016 11:27:00 PM,Service Control Manager,7036.0,196069993.65410662,True
Information,12/18/2016 11:00:00 PM,Service Control Manager,7036.0,196069993.65410662,True
Information,12/18/2016 10:53:05 PM,Service Control Manager,7036.0,261426657.8739195,True
Information,12/18/2016 10:26:05 PM,Service Control Manager,7036.0,220456808.5604694,True
Information,12/18/2016 10:26:04 PM,Service Control Manager,7036.0,261426657.8739195,True
Information,12/18/2016 10:26:04 PM,Service Control Manager,7036.0,220456808.5604694,True
Information,12/18/2016 10:24:27 PM,Service Control Manager,7036.0,106651671.99708445,True
Information,12/18/2016 10:24:27 PM,Service Control Manager,7036.0,106651671.99708445,True
Information,12/18/2016 10:14:57 PM,Service Control Manager,7036.0,261426657.8739195,True
Information,12/18/2016 9:47:57 PM,Service Control Manager,7036.0,62105090.24905677,True
Information,12/18/2016 8:59:27 PM,Service Control Manager,7036.0,88768007.67333469,True
Information,12/18/2016 8:49:28 PM,Service Control Manager,7036.0,409698493.08671975,True
Information,12/18/2016 8:32:29 PM,Service Control Manager,7036.0,75111391.15436015,True
Information,12/18/2016 8:22:28 PM,Service Control Manager,7036.0,409698493.08671975,True
Information,12/18/2016 8:22:28 PM,Service Control Manager,7036.0,75111391.15436015,True
Information,12/18/2016 8:04:27 PM,Service Control Manager,7036.0,88768007.67333469,True
Information,12/18/2016 7:59:27 PM,Service Control Manager,7036.0,53325836.49374346,True
Information,12/18/2016 7:34:27 PM,Service Control Manager,7036.0,53325836.49374346,True
Information,12/18/2016 7:34:27 PM,Service Control Manager,7036.0,53325836.49374346,True
Information,12/18/2016 7:14:27 PM,Service Control Manager,7036.0,53325836.49374346,True
Information,12/18/2016 7:06:59 PM,Service Control Manager,7036.0,53325836.49374346,True
Information,12/18/2016 6:53:59 PM,Service Control Manager,7036.0,204849247.4100265,True
Information,12/18/2016 6:26:59 PM,Service Control Manager,7036.0,204849247.4100265,True
Information,12/18/2016 5:52:56 PM,Service Control Manager,7036.0,196069993.65410662,True
